ID,Title,Season,Episode,ThumbnailFile,Description,VideoUrl,Colors
1,A Walk in the Woods,1,1,~/Images/Thumbnails/S01E01.png,The very first episode of 'The Joy of Painting' with Bob Ross.,https://www.youtube.com/embed/oh5p5f5_-7A,"sapGreen,alizarinCrimson,vanDykeBrown,prussianBlue,phthaloGreen,cadmiumYellow,brightRed,titaniumWhite,blackGesso"
2,Mt. McKinley,1,2,~/Images/Thumbnails/S01E02.png,,https://www.youtube.com/embed/RInDWhYceLU,"sapGreen,alizarinCrimson,vanDykeBrown,prussianBlue,phthaloGreen,cadmiumYellow,brightRed,titaniumWhite"
3,Ebony Sunset,1,3,~/Images/Thumbnails/S01E03.png,,https://www.youtube.com/embed/UOziR7PoVco,"sapGreen,alizarinCrimson,vanDykeBrown,prussianBlue,phthaloGreen,cadmiumYellow,brightRed,titaniumWhite,blackGesso"
4,Winter Mist,1,4,~/Images/Thumbnails/S01E04.png,,https://www.youtube.com/embed/0pwoixRikn4,"vanDykeBrown,prussianBlue,titaniumWhite"
5,Quiet Stream,1,5,~/Images/Thumbnails/S01E05.png,,https://www.youtube.com/embed/DFSIQNjKRfk,"sapGreen,alizarinCrimson,vanDykeBrown,prussianBlue,phthaloGreen,cadmiumYellow,brightRed,titaniumWhite"
6,Winter Moon,1,6,~/Images/Thumbnails/S01E06.png,,https://www.youtube.com/embed/loAzRUzx1wI,"vanDykeBrown,prussianBlue,titaniumWhite,blackGesso"
7,Autumn Mountain,1,7,~/Images/Thumbnails/S01E07.png,,https://www.youtube.com/embed/sDdpc8uisD0,"sapGreen,alizarinCrimson,vanDykeBrown,prussianBlue,phthaloGreen,cadmiumYellow,brightRed,titaniumWhite"
8,Peaceful Valley,1,8,~/Images/Thumbnails/S01E08.png,,https://www.youtube.com/embed/kQlFwTOkYzg,"sapGreen,alizarinCrimson,vanDykeBrown,prussianBlue,phthaloGreen,cadmiumYellow,brightRed,titaniumWhite"
9,Seascape,1,9,~/Images/Thumbnails/S01E09.png,,https://www.youtube.com/embed/QxcS7p1VHyQ,"sapGreen,alizarinCrimson,vanDykeBrown,prussianBlue,phthaloGreen,cadmiumYellow,brightRed,titaniumWhite"
10,Mountain Lake,1,10,~/Images/Thumbnails/S01E10.png,,https://www.youtube.com/embed/wDnLlywAL5I,"sapGreen,alizarinCrimson,vanDykeBrown,prussianBlue,phthaloGreen,cadmiumYellow,brightRed,titaniumWhite"
11,Winter Glow,1,11,~/Images/Thumbnails/S01E11.png,,https://www.youtube.com/embed/Q03YvknOVe0,"sapGreen,alizarinCrimson,vanDykeBrown,prussianBlue,phthaloGreen,cadmiumYellow,brightRed,titaniumWhite"
12,Snow Fall,1,12,~/Images/Thumbnails/S01E12.png,,https://www.youtube.com/embed/4E35-8x_y04,"alizarinCrimson,vanDykeBrown,prussianBlue,titaniumWhite"
13,Final Reflections,1,13,~/Images/Thumbnails/S01E13.png,,https://www.youtube.com/embed/IEQWfszfRlA,"sapGreen,alizarinCrimson,vanDykeBrown,prussianBlue,phthaloGreen,cadmiumYellow,brightRed,titaniumWhite"
14,Meadow Lake,2,1,~/Images/Thumbnails/S02E01.png,,https://www.youtube.com/embed/GARWowi0QXI,"sapGreen,alizarinCrimson,vanDykeBrown,prussianBlue,phthaloBlue,phthaloGreen,cadmiumYellow,yellowOchre,indianYellow,brightRed,titaniumWhite,burntUmber"
15,Winter Sun,2,2,~/Images/Thumbnails/S02E02.png,,https://www.youtube.com/embed/VPfYRj4DDco,"sapGreen,alizarinCrimson,vanDykeBrown,prussianBlue,phthaloBlue,phthaloGreen,cadmiumYellow,yellowOchre,indianYellow,brightRed,titaniumWhite,burntUmber"
16,Ebony Sea,2,3,~/Images/Thumbnails/S02E03.png,,https://www.youtube.com/embed/aOJsKNzO3i8,"sapGreen,alizarinCrimson,vanDykeBrown,prussianBlue,phthaloBlue,phthaloGreen,cadmiumYellow,yellowOchre,indianYellow,brightRed,titaniumWhite,blackGesso,burntUmber"
17,Shades of Grey,2,4,~/Images/Thumbnails/S02E04.png,,https://www.youtube.com/embed/I-ousb8-SD0,"vanDykeBrown,prussianBlue,titaniumWhite"
18,Autumn Splendor,2,5,~/Images/Thumbnails/S02E05.png,,https://www.youtube.com/embed/rTTWw5Gd79I,"sapGreen,alizarinCrimson,vanDykeBrown,prussianBlue,phthaloBlue,phthaloGreen,cadmiumYellow,yellowOchre,brightRed,titaniumWhite,burntUmber"
19,Black River,2,6,~/Images/Thumbnails/S02E06.png,,https://www.youtube.com/embed/6O4sfJd8G_M,"sapGreen,alizarinCrimson,vanDykeBrown,prussianBlue,phthaloBlue,phthaloGreen,cadmiumYellow,yellowOchre,brightRed,titaniumWhite,burntUmber"
20,Brown Mountain,2,7,~/Images/Thumbnails/S02E07.png,,https://www.youtube.com/embed/Vx6v47gHBWM,"sapGreen,alizarinCrimson,vanDykeBrown,prussianBlue,phthaloBlue,phthaloGreen,cadmiumYellow,yellowOchre,brightRed,titaniumWhite,burntUmber"
